sentences,labels,sentences_zh
Molecular Basis of the Activation and Dissociation of Dimeric PYL2 Receptor in Abscisic Acid Signaling,plant biology,在脱离的酸信号传导中激活和解离的分子基础
Grazer behavior can regulate large-scale patterning of community states,ecology,放牧行为可以调节社区国家的大规模模式
High-resolution QTL mapping with Diversity Outbred mice identifies genetic variants that impact gut microbiome composition,genetics,具有多样性小鼠的高分辨率QTL映射鉴定了影响肠道微生物组组成的遗传变异
Addressing the Embeddability Problem in Transition Rate Estimation,biophysics,解决过渡率估计中的嵌入性问题
"Loss of intermediate filament IFB-1 reduces mobility, density and physiological function of mitochondria in 	C. elegans sensory neurons",cell biology,中间细丝IFB-1的丧失可降低线粒体在秀丽隐杆线虫感觉神经元中线粒体的迁移率，密度和生理功能
The Human Motor Cortex Contributes to Gravity Compensation to Maintain Posture and During Reaching,neuroscience,人类运动皮层有助于重力补偿以保持姿势和到达期间
Humans can navigate complex graph structures acquired during latent learning,animal behavior and cognition,人类可以在潜在学习过程中浏览复杂的图形结构
Mitochondrial fission is increased in macrophages during mROS production in response to S. pneumoniae,immunology,在MROS产生过程中，线粒体裂变响应于肺炎链球菌
"An essential, kinetoplastid-specific GDP-Fuc: β-D-Gal α-1,2-fucosyltransferase is located in the mitochondrion of Trypanosoma brucei",microbiology,必不
Cross-Species association statistics for genome-wide studies of host and parasite polymorphism data,evolutionary biology,宿主和寄生虫多态性数据全基因组研究的跨物种关联统计数据
Protein yield is tunable by synonymous codon changes of translation initiation sites,bioinformatics,蛋白质产量可通过翻译起始位点的同义密码子变化可调节
Epigenetic age is accelerated in schizophrenia with age- and sex-specific effects and associated with polygenic disease risk,genomics,在精神分裂症中，表观遗传年龄与年龄和性别特异性作用加速，并且与多基因疾病风险有关
"Choice-selective sequences dominate in cortical relative to thalamic inputs to the nucleus accumbens, providing a potential substrate for credit assignment",neuroscience,选择选择性序列相对于伏隔核的丘脑输入而占主导地位，为信用分配提供了潜在的基板
scAEspy: a tool for autoencoder-based analysis of single-cell RNA sequencing data,bioinformatics,SCAESPY：一种基于自动编码器的单细胞RNA测序数据的工具
The PRMT7-dependent methylation of shank2 modulates invasion-proliferation switching during breast cancer metastasis,cancer biology,Shank2的PRMT7依赖性甲基化调节乳腺癌转移期间的入侵增殖变化
Distinct neurocomputational mechanisms support informational and normative conformity,neuroscience,独特的神经计算机制支持信息和规范合规性
Cell-scale biophysical determinants of cell competition in epithelia,biophysics,上皮细胞竞争的细胞尺度生物物理决定因素
