sentences,labels,sentences_zh
Targeted gene correction and functional recovery in achondroplasia patient-derived iPSCs,developmental biology,靶向基因校正和疼痛性患者衍生的IPSC中的功能恢复
PLETHORA-WOX5 interaction and subnuclear localisation control Arabidopsis root stem cell maintenance,plant biology,过多的Wox5相互作用和亚核定位控制拟南芥根干细胞维持
High-Throughput Translational Profiling with riboPLATE-seq,systems biology,带有Riboplate-seq的高通量翻译分析
Incorporating Gene Expression in Genome-wide Prediction of Chromatin Accessibility via Deep Learning,bioinformatics,通过深度学习将基因表达纳入染色质访问性的全基因组预测
Identification of neural oscillations and epileptiform changes in human brain organoids,neuroscience,鉴定人脑机形的神经振荡和癫痫样变化
Coordination through inhibition: control of stabilizing and updating circuits in spatial orientation working memory,neuroscience,通过抑制进行协调：控制空间方向的稳定和更新电路的工作记忆
The NTD of Eukaryotic Initiation Factor 4B Drives Yeast Translational Control in Response to Urea,molecular biology,真核引发因子4B的NTD驱动酵母转化控制，以响应尿素
Ten-eleven translocation 1 Mediated-DNA Hydroxymethylation is Required for Myelination and Remyelination in the Mouse Brain,neuroscience,十个易位1介导的DNA羟甲基是小鼠脑中需要的髓鞘形成和髓鞘形成的
Roles of adenine methylation and genetic mutations in adaptation to different temperatures in Serratia marcescens,evolutionary biology,腺嘌呤甲基化和遗传突变在适应不同温度的serratia marcescens中的作用
Broadband Signal Rather than Frequency-Specific Rhythms Underlie Prediction Error in the Primate Auditory Cortex,neuroscience,宽带信号而不是频率特定的节奏是灵长类动物听觉皮层中预测错误的基础
Cerebellar lesions disrupt spatial and temporal visual attention.,neuroscience,小脑病变破坏了空间和时间视觉关注。
Host-microbiome protein-protein interactions capture mechanisms in human disease,microbiology,宿主 - 微生物组蛋白 - 蛋白质相互作用捕获人类疾病的机制
"Species richness increases fitness differences, but does not affect niche differences",ecology,物种丰富度增加了健身差异，但不会影响利基差异
Non-selective response inhibition in Go/NoGo task: Bayesian analysis of fMRI data,neuroscience,go/nogo任务中的非选择性响应抑制：bayesian fMRI数据分析
Activation of G-protein coupled estradiol receptor 1 in the dorsolateral striatum attenuates preference for cocaine and saccharin in male but not female rats,neuroscience,在背外侧纹状体中的G蛋白偶联雌二醇受体1的激活减弱了雄性但雌性大鼠的可卡因和糖精的偏好
NHR-8 regulated P-glycoproteins uncouple xenobiotic stress resistance from longevity in chemosensory C. elegans mutants,genetics,NHR-8调节的P-糖蛋白不偶然的异种应激性抗化学感应C.秀丽隐杆线虫突变体中的寿命
Distinct roles for dopamine clearance mechanisms in regulating behavioral flexibility,neuroscience,多巴胺清除机制在调节行为灵活性中的不同作用
Using the Tea Bag Index to determine how two human pharmaceuticals affect litter decomposition by aquatic microorganisms.,microbiology,使用茶袋指数来确定两种人类药物如何影响水生微生物分解垃圾。
CloneSig: Joint inference of intra-tumor heterogeneity and mutational signatures' activity in tumor bulk sequencing data,bioinformatics,Clonesig：肿瘤内异质性和突变特征在肿瘤散装数据中的活性的关节推断
A rationally designed oral vaccine induces Immunoglobulin A in the murine gut that directs the evolution of attenuated Salmonella variants,immunology,理性设计的口服疫苗在鼠肠中诱导免疫球蛋白A，该疫苗指导衰减的沙门氏菌变体的演变
Regulation of apical constriction via microtubule- and Rab11-dependent apical transport during tissue invagination,developmental biology,通过微管和RAB11依赖的顶端转运调节顶端狭窄
Ebselen attenuates mycobacterial virulence through inhibition of ESX-1 secretion,microbiology,ebselen通过抑制ESX-1分泌减轻了分枝杆菌的毒力
Low-disturbance Farming Regenerates Healthy Deep Soil towards Sustainable Agriculture,ecology,低扰动耕作可再生健康的深层土壤对可持续农业
Population structure of chum salmon and selection on the markers collected for stock identification,evolutionary biology,Chum鲑鱼的种群结构和在收集的库存识别标记的选择
Stability of neocortical synapses across sleep and wake,neuroscience,跨睡眠和唤醒的新皮质突触的稳定性
Prefrontal deep projection neurons enable cognitive flexibility via persistent feedback monitoring,neuroscience,前额叶深度投影神经元通过持续反馈监视实现认知灵活性
Dietary fat promotes antibiotic-induced Clostridioides difficile mortality in mice,microbiology,饮食脂肪促进小鼠抗生素诱导的梭状芽胞杆菌艰难梭菌死亡率
Automaticity in the reading circuitry,neuroscience,阅读电路中的自动化
"Towards Practical and Robust DNA-based Data Archiving Using ""Yin-Yang Codec"" System",synthetic biology,使用“ Yin-Yang编解码器”系统进行实用且强大的基于DNA的数据归档
Mutations in Auxilin cause parkinsonism via impaired clathrin-mediated trafficking at the Golgi apparatus and synapse,neuroscience,辅助蛋白的突变导致帕金森氏症通过在高尔基体和突触的旋转蛋白介导的贩运受损而引起帕金森氏症
Genomic Background Governs Opposing Responses to Nalidixic Acid Upon Megaplasmid Acquisition in Pseudomonas,microbiology,基因组背景控制对假单胞菌中大质质剂时对纳利迪酸的反应
Attenuated directed exploration during reinforcement learning in gambling disorder,neuroscience,在赌博障碍的加固学习过程中减弱的定向探索
LiGIoNs: A Computational Method for the Detection and Classification of Ligand-Gated Ion Channels,bioinformatics,ligions：一种用于检测和分类配体门控离子通道的计算方法
Blinking Statistics and Molecular Counting in direct Stochastic Reconstruction Microscopy (dSTORM),biophysics,直接随机重建显微镜（DSTORM）中的眨眼统计和分子计数
Linear B-cell epitope prediction for in silico vaccine design: a performance review of methods available via command-line interface,bioinformatics,硅疫苗设计中的线性B细胞表位预测：通过命令行界面可用的方法审查
Matrix Inversion and Subset Selection (MISS): A novel pipeline for quantitative mapping of diverse cell types across the murine brain,neuroscience,矩阵反转和子集选择（错过）：一种新型的管道，用于跨鼠大脑的各种细胞类型的定量映射
Estradiol-induced progesterone synthesis develops post-puberty in the rostral hypothalamus and coincides with post-pubertal changes in the steroidogenic pathway in female mouse hypothalamic astrocytes,neuroscience,雌二醇诱导的孕激素合成在下丘脑的pu骨后发展，并与雌性小鼠下丘脑星形胶质细胞的类固醇生成途径的聚伯碱变化相吻合
Unravelling the genetic architecture of musical rhythm: a large-scale genome-wide association study of beat synchronization,genetics,揭开音乐节奏的遗传结构：一个大规模基因组协会的节拍同步研究
Integrative nascent RNA methods to reveal cell-type specific transcription programs in peripheral blood and its derivative cells,molecular biology,揭示外周血及其衍生细胞中细胞类型特定转录程序的整合性新生RNA方法
Temperature predicts the maximum tree-species richness and water and frost shape the residual variation,ecology,温度预测最大树种的丰富度和水和霜冻形状残余变化
Trading Mental Effort for Confidence in the Metacognitive Control of Value-Based Decision-Making,neuroscience,贸易心理努力以对基于价值决策的元认知控制信心
