sentences,labels,sentences_zh
PMCE: efficient inference of expressive models of cancer evolution with high prognostic power,bioinformatics,PMCE：具有高预后能力的癌症演化模型的有效推断
Convergent evolution of primate testis transcriptomes reflects mating strategy,evolutionary biology,灵长类动物睾丸转录组的收敛演化反映了交配策略
A max-margin model for predicting residue-base contacts in protein-RNA interactions,bioinformatics,一种用于预测蛋白质RNA相互作用中残基碱接触的最大修订模型
Engineered acetoacetate-inducible whole-cell biosensors based on the AtoSC two-component system,synthetic biology,基于ATOSC两组分制的工程乙酸乙酸酯诱导的全细胞生物传感器
Association of NQO1 C609T (Pro187Ser) with risk of Oral Submucous Fibrosis in Eastern Indian population,genetics,NQO1 C609T（PRO187SER）与东印度东部人口有口服粘膜纤维化的风险
Fast gene set enrichment analysis,bioinformatics,快速基因集富集分析
Immunoecology of species with alternative reproductive tactics and strategies,evolutionary biology,具有替代性生殖策略和策略的物种免疫生态学
Frameshifts and wild-type protein sequences are always highly similar because the genetic code and genomes were optimized for frameshift tolerance,genetics,遗传密码和基因组被优化为移码耐受性，而移码和野生型蛋白序列始终高度相似
Estimating the timing of multiple admixture events using 3-locus Linkage Disequilibrium,bioinformatics,使用3-Locus连锁不平衡估算多个混合事件的时间安排
Revisiting the effect of red on competition in humans,evolutionary biology,重新审视红色对人类竞争的影响
Resolving the Functional Significance of BRCA1 RING Domain Missense Substitutions,genetics,解决BRCA1环域错义取代的功能意义
"Sustained software development, not number of citations or journal choice, is indicative of accurate bioinformatic software",bioinformatics,持续的软件开发，而不是引用数量或期刊选择，表明了准确的生物信息学软件
Correcting Chimeric Crosstalk in Single Cell RNA-seq Experiments,bioinformatics,在单细胞RNA-seq实验中校正嵌合串扰
The Arabidopsis Framework Model version 2 predicts the organism-level effects of circadian clock gene mis-regulation,plant biology,拟南芥框架模型版本2预测了昼夜节律基因不调节的生物级效果
Aperiodic neural activity is a better predictor of schizophrenia than neural oscillations,neuroscience,与神经振荡相比
Population Temporal Structure Supplements The Rate Code During Sensorimotor Transformations,neuroscience,种群时间结构补充了感觉运动转换期间的速率代码
Sexual dimorphism and plasticity in wing shape in three Diptera,zoology,三翼翅目中的二态性和可塑性
Laser-free super-resolution microscopy,biophysics,无激光超分辨率显微镜
The Effects of Central Nervous System Stimulants on Drosophila melanogaster Reproduction,developmental biology,中枢神经系统兴奋剂对果蝇果蝇繁殖的影响
Proteins with prion-like domains can form viscoelastic condensates that enable membrane remodeling and endocytosis,cell biology,带有prion样域的蛋白质可以形成粘弹性冷凝物，使膜重塑和内吞作用
Intestine-to-neuronal signaling alters risk-taking behaviors in food-deprived Caenorhabditis elegans,neuroscience,肠道到神经元信号传导在露天秀丽隐杆线虫中改变冒险行为
Distinct C4 Sub-Types and C3 Bundle Sheath Isolation In The Paniceae Grasses,plant biology,Paniceae草中不同的C4子类型和C3束鞘隔离
The effects of an 8-week mindful eating intervention on anticipatory reward responses in striatum and midbrain,neuroscience,8周的正念饮食干预对纹状体和中脑的预期奖励反应的影响
Bromodomains regulate dynamic targeting of the PBAF chromatin remodeling complex to chromatin hubs,cell biology,溴化域调节PBAF染色质重塑复合物对染色质轮毂的动态靶向
cytoNet: Spatiotemporal Network Analysis of Cell Communities,bioengineering,细胞：细胞群落时空网络分析
Plant genetic effects on microbial hubs impact fitness across field trials,plant biology,植物遗传对微生物中心的影响影响整个现场试验的适应性
