sentences,labels,sentences_zh
Biophysical basis of cellular multi-specificity encoded in a model molecular switch,systems biology,在模型分子开关中编码的细胞多特异性的生物物理基础
The mechanisms of in vivo commensal control of Clostridioides difficile virulence,microbiology,梭状芽胞杆菌艰难梭菌毒力的体内共生控制机制
"Modeling gene expression evolution with EvoGeneX uncovers differences in evolution of species, organs and sexes",evolutionary biology,用Evogenex建模基因表达进化，发现物种，器官和性别的进化差异
Different forms of variability could explain a difference between human and rat decision making,neuroscience,不同形式的可变性可以解释人类和大鼠决策之间的差异
Mechanical control of morphogenetic robustness in an inherently challenging environment,developmental biology,在本质上具有挑战性的环境中机械控制形态发生鲁棒性
Scanning electron microscopy preparation of the cellular actin cortex: a quantitative comparison between critical point drying and hexamethyldisilazane drying,biophysics,细胞肌动蛋白皮层的扫描电子显微镜制备：临界点干与六甲基二硅烷干燥之间的定量比较
Protein sequence design with a learned potential,bioinformatics,蛋白质序列设计具有博学的潜力
Regulation of mitophagy by the NSL complex underlies genetic risk for Parkinson's disease at Chr16q11.2 and on the MAPT H1 allele,neuroscience,NSL复合物对线粒体的调节是帕金森氏病的遗传风险，在CHR16Q11.2和MAPT H1等位基因上
Lumbar corticospinal tract in rodents modulates sensory inputs but does not convey motor command,neuroscience,啮齿动物中的腰椎皮质脊髓道调节感觉输入，但不传达电动机命令
Subliminal perception can be predicted from prestimulus activity,neuroscience,可以预测潜意识的感知。
"Predictive feedback, early sensory representations and fast responses to predicted stimuli depend on NMDA receptors",neuroscience,预测反馈，早期感觉表示和对预测刺激的快速反应取决于NMDA受体
Computed tomography reveals hip dysplasiain the extinct Pleistocene saber-tooth cat Smilodon,paleontology,计算机断层扫描揭示了髋关节增生症灭绝的更新世剑齿猫smilodon
Role of the transcriptional regulator SP140 in resistance to bacterial infections via repression of type I interferons,immunology,转录调节剂SP140在对细菌感染的抗性中通过抑制I型干扰素的作用
Error correction enables use of Oxford Nanopore technology for reference-free transcriptome analysis,bioinformatics,错误校正使使用牛津纳米孔技术进行无参考的转录组分析
Bayesian cell-type deconvolution and gene expression inference reveals tumor-microenvironment interactions,genomics,贝叶斯细胞型反卷积和基因表达推断揭示了肿瘤 - 微环境相互作用
RNA-binding protein Syncrip regulates Starvation-Induced Hyperactivity in adult Drosophila,genomics,RNA结合蛋白综合调节成年果蝇的饥饿诱导的多动症
4DNvestigator: Time Series Genomic Data Analysis Toolbox,bioinformatics,4DNVESTIGATOR：时间序列基因组数据分析工具箱
"A silent disco: Persistent entrainment of low-frequency neural oscillations underlies beat-based, but not pattern-based temporal expectations",neuroscience,无声的迪斯科：持续夹带低频神经振荡是基于节拍的基于模式的时间期望的基础
The formation of microbial exoskeletons is driven by a controlled calcium-concentrating subcellular niche,microbiology,微生物外骨骼的形成是由受控的钙浓缩亚细胞生态市场驱动的
Geographical and environmental contributions to genomic divergence in mangrove forests,evolutionary biology,红树林对基因组差异的地理和环境贡献
A semi-empirical model of the aerodynamics of manoeuvring insect flight,biophysics,机动昆虫飞行空气动力学的半经验模型
Trial-by-trial predictions of subjective time from human brain activity,neuroscience,人脑活动的主观时间进行试验预测
Fundamental resource specialization of herbivorous butterflies decreases toward lower latitudes,ecology,草食蝴蝶的基本资源专业化降低了较低的纬度
Succination of Dihydrolipoyllysine Succinyltransferase by Fumarate Exacerbates Defective Mitochondrial ATP Production during Complex I Deficiency,biochemistry,在复杂的I缺乏症中，通过富马酸盐加剧了有缺陷的线粒体ATP的二氢脂酰碱性琥珀酰转移酶
Propranolol promotes bone formation and limits resorption through novel mechanisms during anabolic parathyroid hormone treatment in female C57BL/6J mice,physiology,普萘洛尔在雌性C57BL/6J小鼠中促进骨形成，并通过新代谢性甲状旁腺激素治疗期间的新机制限制骨骼形成
Changes in partner traits drive variation in plant-nectar robber interactions across habitats,ecology,伴侣特征的变化驱动跨栖息地的植物 - 纳克强盗互动的变化
DLG2 knockout reveals neurogenic transcriptional programs underlying neuropsychiatric disorders and cognition,developmental biology,DLG2敲除揭示了神经精神疾病和认知的神经源性转录程序
Design and demonstration in vitro of mouse-specific Transcranial Magnetic Stimulation coil,neuroscience,在体外设计和演示小鼠特异性经颅磁刺激线圈
Choice can be predicted from populations of bursting neurons in superficial layers of monkey V1,neuroscience,可以从猴子浅层层中爆发神经元的种群预测选择
Radius-Optimized Efficient Template Matching for Lesion Detection from Brain Images,neuroscience,从大脑图像中检测病变检测的半径优化的有效模板匹配
